time,x,y
29.3,-1.393549333,-0.845082835
29.35,-1.152958129,-0.622592841
29.4,-0.867358293,-0.413784545
29.45,-0.551062343,-0.229828641
29.5,-0.220594607,-0.079308079
29.55,0.106215737,0.032290482
29.6,0.411232144,0.102874254
29.65,0.6770395,0.133813538
29.7,0.887942865,0.12977979
29.75,1.030876327,0.098364384
29.8,1.096167396,0.049503877
29.85,1.078110911,-0.005250216
29.9,0.975317836,-0.053569257
29.95,0.790817856,-0.08323827
30,0.531909475,-0.083041682
30.05,0.209766519,-0.043586333
30.1,-0.161175415,0.041991953
30.15,-0.564015833,0.177484569
30.2,-0.980321863,0.363265164
30.25,-1.391140769,0.596166968
30.3,-1.778032192,0.869591795
30.35,-2.124058959,1.173845401
30.4,-2.414678156,1.496679499
30.45,-2.638480532,1.824007518
30.5,-2.787735863,2.140750062
30.55,-2.858713997,2.431757618
30.6,-2.85176521,2.682752871
30.65,-2.771158306,2.881233486
30.7,-2.624689804,3.017278298
30.75,-2.423091422,3.084205625
30.8,-2.179275333,3.079041299
30.85,-1.907466268,3.002765641
30.9,-1.62227614,2.860322169
30.95,-1.337779925,2.660385473
31,-1.066650888,2.41490059
31.05,-0.819409027,2.138420365
31.1,-0.603828979,1.847279828
31.15,-0.424543172,1.558656823
31.2,-0.282863346,1.289575274
31.25,-0.176829474,1.055911197
31.3,-0.101480526,0.871461565
31.35,-0.049327341,0.747132486
31.4,-0.010994953,0.690295945
31.45,0.024009081,0.704354222
31.5,0.066451802,0.788538462
31.55,0.126513662,0.937953653
31.6,0.212966379,1.143867276
31.65,0.332444745,1.394224073
31.7,0.488861302,1.674355648
31.75,0.683003698,1.967841782
31.8,0.912342886,2.25747122
31.85,1.171066878,2.526243734
31.9,1.450340294,2.758352918
31.95,1.738775461,2.940090534
32,2.023087148,3.060618242
32.05,2.288891043,3.112560864
32.1,2.521596609,3.09238647
32.15,2.707338522,3.000551784
32.2,2.833887907,2.84140597
32.25,2.891485368,2.62286073
